query,is_korean,translated_query,top_score,lecture_count,python_doc_rst_count,translation_error
파이썬에서 숫자 연산하는 방법,True,python numeric operations arithmetic calculations,0.47616357,0,5,
정수 나눗셈과 나머지 연산자 사용법,True,integer division modulo operator usage,0.5581173,0,5,
문자열 슬라이싱 하는 법,True,string slicing substring indices Python,0.49782616,0,5,
리스트 컴프리헨션이란,True,list comprehension definition syntax usage,0.52217746,0,5,
if elif else 조건문 사용법,True,if elif else conditional statements usage,0.5451988,0,5,
for문에서 range 함수 사용하는 방법,True,for loop range function usage,0.5609422,0,5,
함수 정의하는 방법 def 키워드,True,function definition def keyword,0.50023377,0,5,
람다 함수 사용법,True,lambda function usage syntax Python,0.4984072,0,5,
딕셔너리 리터럴 사용법,True,dictionary literal usage syntax keys values,0.43026724,0,5,
모듈 임포트 하는 방법,True,import module Python module system,0.50341237,0,5,
try except 예외 처리하는 방법,True,try except exception handling error,0.58269304,0,5,
