query,is_korean,translated_query,top_score,lecture_count,python_doc_rst_count,translation_error
파이썬에서 숫자 연산하는 방법,True,arithmetic operators addition subtraction multiplication division floor division (//) modulo operator (%) power operator (**),0.66193462,0,5,
정수 나눗셈과 나머지 연산자 사용법,True,integer division floor division (//) modulo operator (%) arithmetic operators remainder operator,0.7454862999999999,0,5,
문자열 슬라이싱 하는 법,True,string slicing syntax string literal indices brackets [] substring extraction slice notation,0.6054127745454545,0,5,
리스트 컴프리헨션이란,True,list comprehension syntax iterable for loop expression brackets [] list.append(),0.6272296159999999,0,5,
if elif else 조건문 사용법,True,"if statement, elif, else, conditional expression, control flow, branching, logical operators, comparison operators",0.48575507799999995,0,5,
for문에서 range 함수 사용하는 방법,True,for statement range() function iterable syntax loop control flow step size list comprehension,0.6715884603076923,0,5,
함수 정의하는 방법 def 키워드,True,function definition def keyword parameters arguments return statement callable,0.625379068,0,5,
람다 함수 사용법,True,lambda expression anonymous function parameters arguments return statement function definition,0.66661541,0,5,
딕셔너리 리터럴 사용법,True,dictionary display dict literal key value pairs curly braces {} dict.get(),0.644808604,0,5,
모듈 임포트 하는 방법,True,import statement from import module namespace standard library __init__.py package directory,0.6065185339999999,0,5,
try except 예외 처리하는 방법,True,try except exception handling built-in exceptions KeyError ValueError IndexError traceback raise statement,0.6558029299999999,0,5,
