query,is_korean,translated_query,top_score,lecture_count,python_doc_rst_count,translation_error
파이썬에서 숫자 연산하는 방법,True,arithmetic operators addition subtraction multiplication division floor division (//) modulo operator (%) power operator (**),0.5700708,0,5,
정수 나눗셈과 나머지 연산자 사용법,True,integer division floor division (//) modulo operator (%) arithmetic operators remainder operator,0.63594615,0,5,
문자열 슬라이싱 하는 법,True,string slicing syntax string literal brackets [] start index end index step slice object,0.53834367,0,5,
리스트 컴프리헨션이란,True,list comprehension syntax iterable for loop expression brackets [] generator expression,0.6329086,0,5,
if elif else 조건문 사용법,True,if statement elif else conditional expression control flow branching logic indentation,0.5661366,0,5,
for문에서 range 함수 사용하는 방법,True,for statement range() function iterable syntax loop control variable index step size,0.5843202,0,5,
함수 정의하는 방법 def 키워드,True,function definition def keyword parameters arguments return statement callable,0.47993845,0,5,
람다 함수 사용법,True,lambda expression anonymous function parameters arguments return statement function definition,0.52453005,0,5,
딕셔너리 리터럴 사용법,True,dictionary display dict literal key value pairs curly braces {} dict.get(),0.49361682,0,5,
모듈 임포트 하는 방법,True,import statement from import module namespace standard library __init__.py package directory,0.5538838,0,5,
try except 예외 처리하는 방법,True,try except exception handling built-in exceptions KeyError ValueError IndexError traceback raise statement,0.53291523,0,5,
